28|ICG Zertifizierung GmbH|||Wildparkstraße 3|09247|Chemnitz/OT Röhrsdorf||
29|DEKRA Certification GmbH|||Alt-Moabit 59-61|10555|Berlin||
40|GZQ GmbH|||Sulzbachtalstraße 131|66125|Saarbrücken||
25|GUT|Certifizierungsgesellschaft|für Managementsysteme mbH|Eichenstraße 3 b|12435|Berlin||
124|GüteZert GmbH|||Adolfsallee 59|65185|Wiesbaden||
144|DeuZert|Deutsche Zertifizierung in|Bildung und Wirtschaft GmbH|Hochschulring 2|15745|Wildau||
69|TQCert GmbH|||Gobietstraße 13|34123|Kassel||
104|WELL DONE|Zertifizierungs|gesellschaft mbH|Ottostraße 1|67657|Kaiserslautern||
30|EUROPANOZERT|Zertifizierungen u. Schulungen|GmbH|Leunaer Straße 7|12681|Berlin||
31|HZA Hanseatische|Zertifizierungsagentur GmbH||Schellerdamm 18|21079|Hamburg||
34|DQS GmbH Deutsche Gesellschaft|zur Zertifizierung von|Managementsystemen|August-Schanz-Straße 21|60433|Frankfurt am Main|Frau Horsch / Frau Campañá Tel. 069 95427-8881|
35|CEA Certification GmbH|||Friedrich-Engels-Straße 26|34117|Kassel||
38|TÜV NORD CERT GmbH|||Am TÜV 1|45307|Essen||
39|TÜV SÜD Management Service|GmbH||Ridlerstraße 57|80339|München|Product Compliance Manager: Tim Keller, Telefon: +49 151 74364335, Björn Bechtel, Telefon: +49 151 702 275 66,                                            Eva Öhler, Telefon: + 49 151 56702455|
41|ZDH-Zert GmbH|||Wurzerstraße 4a|53175|Bonn||
42|TAW Cert Zertifizierungsgesell|schaft mbH für Management-|Systeme und Personal|Fritz-Bauer-Straße 13|90518|Altdorf b. Nürnberg||
48|CERTQUA GmbH|||Bonner Talweg 68|53113|Bonn||
22|TÜV Rheinland Cert GmbH|||Am Grauen Stein|51105|Köln||
23|QUACERT Gesellschaft|zur Zertifizierung von Quali|tätsmanagement-Systemen mbH|Eutighofer Straße 137|73525|Schwäbisch Gmünd||
24|Cert-IT GmbH|||Rabinstraße 1|53111|Bonn||
26|TÜV Thüringen e.V.|Zertifizierungsstelle für|Systeme und Personal|Ernst-Ruska-Ring 6|07745|Jena||
204|TÜV Technische Überwachung|Hessen GmbH (TÜV Hessen)||Robert-Bosch-Straße 16|64293|Darmstadt||
224|ZertSozial GmbH|Prüfungsdienstleister für|Soziales, Gesundheit, Bildung|Heusteigstraße 99|70180|Stuttgart||
244|SocialCert GmbH|||Hauptstraße 148|47877|Willich|Die Akkreditierung besteht nur für Zulassungen von Trägern und Maßnahmen in den Fachbereichen nach § 5 Abs. 1 S. 3 Nr. 1,2,3,4,6 AZAV.|
304|EQ ZERT Europäisches Institut|zur Zertifizierung von Manage|mentsystemen u. Personal|Eberhard-Finckh-Straße 26|89075|Ulm||
364|ÖHMI EuroCert® GmbH|||Berliner Chaussee 66|39114|Magdeburg||
384|CERTURIA Certification|Germany GmbH||Merseburger Str. 73|06112|Halle (Saale)||
424|APV-Zertifizierungs GmbH|||Ludwig-Erhard-Straße 8|34131|Kassel|stellvertretende Leitung Frau Meyerhoff|
464|Qualidata GmbH|||Am Busdorf 7|33098|Paderborn|Die Akkreditierung besteht nur für Zulassungen von Trägern und Maßnahmen in den Fachbereichen nach § 5 Abs. 1 S. 3 Nr. 1,2,3,4,6 AZAV.|
524|Kiwa ZERTPUNKT GmbH|||Otto-Hahn-Str. 13|22941|Bargteheide||
