0|Auf Anfrage
1|Vor-Ort-Vollzeit
2|Vor-Ort-Teilzeit
3|Wochenendveranstaltung
4|Fernunterricht/ Fernstudium
5|E-Learning/ Blended Learning / Virtuelles Klassenzimmer
6|Blockunterricht
7|Inhouse-/ Firmenseminar
8|Einzelmaﬂnahme (Einzelbetreuung)
9|Gruppenmaﬂnahme
101|Pr‰senzunterricht
102|Seminar
103|Workshop
104|Praxistraining
105|Sonstige Pr‰senzveranstaltung
201|Virtuelles Klassenzimmer
202|Online-Seminar
203|Online-Coaching
204|Selbstlernmodul
205|Virtual Reality
206|Sonstige Digitale Lernform
301|Blended Learning
302|Combined Learning
303|Hybrid Learning
304|Sonstige Kombinierte Lernform
401|Fernunterricht
402|Fernlehrgang
403|Sonstiger Fernunterricht
