1|Aufstiegs-BAföG (AFBG)
2|Bildungsgutschein
4|Aufstiegsstipendium bei der Stiftung Begabtenförderung berufliche Bildung (SBB)
5|Weiterbildungsstipendium bei der Stiftung Begabtenförderung berufliche Bildung (SBB)
6|Förderung beruflicher Weiterbildung in der Binnenschifffahrt
7|Förderung von Weiterbildung im Güterkraftverkehr
8|Qualifizierungsgeld zur Förderung der beruflichen Weiterbildung Beschäftigter
9|Förderung beruflicher Weiterbildung für Beschäftigte in Transfergesellschaften
10|KOMPASS - Förderung der beruflichen Weiterbildung von Solo-Selbstständigen
11|Zuschuss bei der Qualifizierung Beschäftigter
12|Arbeitslosengeld bei beruflicher Weiterbildung
13|Förderung von Menschen mit gesundheitlicher Beeinträchtigung
