Baden-Württemberg
19|Coaching-Programm Personalentwicklung und Weiterbildungsberatung des Landes Baden-Württemberg
20|ESF-Plus-Förderprogramm „Fachkurse“ in Baden-Württemberg
53|Bildungszeit

Bayern
21|ESF-Plus-Förderung für Unternehmen in Bayern
22|Meisterbonus in Bayern

Berlin
1|Bildungszeit in Berlin

Brandenburg
6|Bildungsscheck in Brandenburg
23|Bildungsfreistellung / Bildungsurlaub in Brandenburg
24|Förderung von Hebammen in Brandenburg
25|Förderung für Unternehmen und rechtsfähige Vereine in Brandenburg

Bremen
7|Bildungszeit in Bremen
26|Aufstiegsfortbildungs-Prämie in Bremen

Hamburg
8|Bildungsurlaub in Hamburg
30|Meisterprämie in Hamburg
31|Weiterbildungsbonus PLUS in Hamburg

Hessen
32|Aufstiegsprämie in Hessen

Mecklenburg-Vorpommern
12|Bildungsfreistellung / Bildungsurlaub in Mecklenburg-Vorpommern
33|Bildungsfreistellung / Bildungsurlaub: Erstattungsansprüche für Unternehmen in Mecklenburg-Vorpommern
34|Bildungsschecks für Unternehmen in Mecklenburg-Vorpommern
35|Meister-Extra in Mecklenburg-Vorpommern
36|„Unternehmensspezifische Vorhaben“ in Mecklenburg-Vorpommern

Niedersachsen
37|Bildungsurlaub in Niedersachsen
38|Meisterprämie im Handwerk in Niedersachsen
39|Weiterbildungsprämie in Niedersachsen

Nordrhein-Westfalen
40|Arbeitnehmerweiterbildung / Bildungsurlaub in Nordrhein-Westfalen

Rheinland-Pfalz
15|Bildungsfreistellung / Bildungsurlaub in Rheinland-Pfalz
16|QualiScheck in Rheinland-Pfalz
41|Förderung der betrieblichen Weiterbildung in Rheinland-Pfalz
42|Erstattung zur Bildungsfreistellung / Bildungsurlaub für Unternehmen in Rheinland-Pfalz
43|Aus- und Weiterbildungskredit in Rheinland-Pfalz

Saarland
44|Aufstiegsbonus im Saarland
45|Förderung von Weiterbildungen in großen Unternehmen im Saarland
46|Förderprogramm „Kompetenz durch Weiterbildung“ im Saarland

Sachsen
47|Meisterbonus in Sachsen
54|Förderung der individuell berufsbezogenen Weiterbildung in Sachsen
55|Förderung der betrieblichen Weiterbildung in Sachsen

Sachsen-Anhalt
56|Bildungsfreistellung
57|Förderung individueller beruflicher Weiterbildung (DIREKT)
58|Förderung betrieblicher Weiterbildung

Schleswig-Holstein
18|Bildungsfreistellung
49|Weiterbildungsbonus


Thüringen
50|Förderprogramm „berufliche Anpassungsqualifizierung“ in Thüringen
51|Förderung für Unternehmen bei Anpassungsqualifizierungen in Thüringen
52|Individuelle Weiterbildung von sozialversicherungspflichtig Beschäftigten (Weiterbildungsscheck)
